title,view,tags
مورایس و کپی از گواردیولا برای آماده‌سازی قربانی,12600,"سپاهان, نساجی مازندران, ژوزه مورایس, لیگ برتر ایران, فوتبال"
سرنوشت تن‌هاخ پس از سیلی محکم سیتی,41500,"منچستریونایتد, منچسترسیتی, اریک تن هاخ, لیگ برتر انگلیس, فوتبال"
لیگ NBA| اتفاقی تاریخی در دوران حرفه‌ای کریس پاول,3500,"کریس پاول, گلدن استیت واریرز, لیگ حرفه ای بسکتبال NBA, بسکتبال"
توضیح رئیس تیروکمان در مورد سفرهای متوالی به چین,861000,تیراندازی با کمان
"مجیک جانسون، چهارمین ورزشکار یک میلیارد دلاری",5900,"لیگ حرفه ای بسکتبال NBA, بسکتبال"
نیکبخت‌واحدی: استقلال و سپاهان مدعی قهرمانی هستند,32800,"استقلال, علیرضا نیکبخت واحدی, لیگ برتر ایران, فوتبال"
کسی جلودار مکس دیوانه نیست!,8200,"فرمول یک, مکس ورشتپن, ردبول, اتومبیل رانی"
توضیحات سرپرست دبیری فدراسیون ژیمناستیک,489000,ژیمناستیک
ایران قهرمان مسابقات جهانی فیتنس چلنج شد,3700,پرورش اندام - بدن سازی
روزهای خاکستری کاراته ایران,2900,"تیم ملی کاراته, کاراته"
مصدومیت ستاره بسکتبال ایران در آلمان,7800,"بهنام یخچالی, بسکتبال"
نمایش متزلزل هافبک موردعلاقه یحیی,29300,"پرسپولیس, مسعود ریگی, لیگ برتر ایران, فوتبال"
پپ: نمی دانم بعد مورینیو چه بلایی سر یونایتد آمد,63300,"منچستریونایتد, منچسترسیتی, زلاتان ابراهیموویچ, پپ گواردیولا, خوزه مورینیو, لیگ برتر انگلیس, فوتبال"
لغو جشن و احترام شاگردان حسینی به فخرالدینی (عکس),22000,"میلاد فخرالدینی, آلومینیوم اراک, لیگ برتر ایران, فوتبال"
نیوکسل می‌تواند قرارداد ستاره خاطی را فسخ کند,15600,"نیوکسل, ساندرو تونالی, لیگ برتر انگلیس, فوتبال"
سرمربی نامدار غول عربستانی قصد جدایی دارد!,36400,"الاتحاد, لیگ حرفه‌ای عربستان, نونو اسپریتو سانتو, فوتبال"
این مربی قهرمان اروپا را از بحران نجات می‌دهد,13900,"آژاکس, اردیویسه هلند, فوتبال"
تارتار دوباره استخوان در گلوی پرسپولیس (عکس),13000,"ملوان, پرسپولیس, یحیی گل محمدی, مهدی تارتار, لیگ برتر ایران, فوتبال"
300 میلیون و یک گل: آه رونالدو منچستر را گرفت!,220900,"منچستریونایتد, منچسترسیتی, آنتونی مارسیال, مارکوس رشفورد, آنتونی, جیدون سانچو, پپ گواردیولا, لیگ برتر انگلیس, راسموس هویلوند, فوتبال"
صحنه‌ای که مانع شکست تیم ملی زنان شد (عکس),32600,"فوتبال زنان, بهناز طاهرخانی, تیم ملی فوتبال زنان, فوتبال"
"رامین رضائیان، رقیب رونالدو و میتروویچ!",26000,"سپاهان, رامین رضائیان, کریستیانو رونالدو, لیگ برتر ایران, لیگ قهرمانان آسیا, فوتبال"
وضعیت نگران کننده حاج‌صفی با دوری از بازی (عکس),9600,"تیم ملی ایران, احسان حاج صفی, آ ا ک آتن, فوتبال"
بلینگام دو گل از ستاره بارسا کم آورد,54500,"رئال مادرید, بارسلونا, رابرت لواندوفسکی, الکلاسیکو, جود بلینگام, لالیگا اسپانیا, فوتبال"
واکنش رضائیان به پرخاش دابو در وطنی,55900,"سپاهان, رامین رضائیان, لیگ برتر ایران, برایان دابو, فوتبال"
نیمکت پرسپولیس و یک گمشده,29900,"ملوان, پرسپولیس, یحیی گل محمدی, لیگ برتر ایران, نبیل باهوی, فوتبال"
یحیی برای شماره 10 پرسپولیس ریسک نکرد,29200,"ملوان, پرسپولیس, میلاد سرلک, یحیی گل محمدی, لیگ برتر ایران, فوتبال"
واکنش فوری سپاهان به درگیری دابو با مورایس,51300,"سپاهان, ژوزه مورایس, لیگ برتر ایران, برایان دابو, فوتبال"
دلیل تاخیر در عمل پورعلی‌گنجی,23100,"پرسپولیس, تیم ملی ایران, مرتضی پورعلی گنجی, لیگ برتر ایران, فوتبال"
ستاره هفته: همه جوره از همه ممنونم,13800,"گل گهرسیرجان, سعید سحرخیزان, لیگ برتر ایران, فوتبال"
واکنش جالب به کیفیت بیرانوند و یک خلأ در پرسپولیس,41800,"پرسپولیس, علیرضا بیرانوند, یحیی گل محمدی, لیگ برتر ایران, فوتبال"
بدشانسی مدافع آبی‌پوش با یک مصدومیت شدید دیگر,24600,"استقلال آبی پوش ملاثانی, لیگ آزادگان, فوتبال"
"تراژدی بزرگی است، خدا به دیاز رحم کند",57200,"لیورپول, لوئیز دیاز, یورگن کلوپ, لیگ برتر انگلیس, فوتبال"
رکورد فوق‌العاده حامد لک در بازگشت (عکس),21500,"مس رفسنجان, حامد لک, لیگ برتر ایران, فوتبال"
این بازیکن هر بازی یک هم‌تیمی را خوشحال می‌کند!,13700,"سپاهان, رامین رضائیان, نساجی مازندران, لیگ برتر ایران, فوتبال"
این ستاره یوونتوس هم به خانه رفت!,19800,"یوونتوس, سری آ ایتالیا, تیموتی وه آ, فوتبال"
اولين تغيير مهم كيومرث هاشمى در وزارت ورزش,10400,"وزارت ورزش و جوانان, کیومرث هاشمی"
بحران در لایپزیش: غیبت 3 ماهه ستاره اسپانیایی,11200,"تیم ملی اسپانیا, لایپزیش, بوندسلیگا آلمان, دنی اولمو, فوتبال"
شاگرد کی‌‎روش: امیدوارم سالم الدوسری مرد سال شود,14600,"تیم ملی قطر, الدحیل, مرد سال آسیا, معز علی, سالم الدوساری, فوتبال"
سازمان لیگ پول نفت را نگه داشت!,11200,"نفت مسجدسلیمان, لیگ آزادگان, فوتبال"
آوار خشم هواداران قطری بر سر سرمربی ایرانی,41400,"العربی, مارکو وراتی, لیگ ستارگان قطر, الاهلی دوحه, فوتبال"
اعتراف پپ: از رفتن این ستاره می‌ترسیدم و می‌ترسم!‏,60900,"منچسترسیتی, نقل و انتقالات اروپا, برناردو سیلوا, پپ گواردیولا, لیگ برتر انگلیس, فوتبال"
شهاب زاهدی و فرصتی که از دست رفت,15700,"پرسپولیس, شهاب زاهدی, لیگ برتر ایران, لیگ قهرمانان آسیا, فوتبال"
جایزه طلا از جایزه نقره پانصد میلیون کمتر شد!,9500,"بازی های آسیایی هانگژو, والیبال نشسته"
رحمتی: به خدا شمال زمین چمن ندارد!,13700,"سیدمهدی رحمتی, نساجی مازندران, لیگ برتر ایران, فوتبال"
چمن آزادی هنوز دو ستاره به پرسپولیس بدهکار است!,25100,"پرسپولیس, وحید امیری, مهدی ترابی, لیگ برتر ایران, فوتبال"
حضور دو استقلالی در کلاس مربیگری قطر (عکس),44800,"استقلال, پژمان منتظری, امید ابراهیمی, فوتبال"
آسیا آماده برگزاری مراسم برترین‌های سال,10200,"تیم ملی ایران, فدراسیون فوتبال, ای اف سی, مهدی طارمی, محمدامین حزباوی, فوتبال"
تبریزی بلای جان استقلال شد! (عکس),56600,"مرتضی تبریزی, آلومینیوم اراک, لیگ برتر ایران, فوتبال"
ادعای مارکا: این شما و این برنده‌های توپ طلا!‏,47800,"لیونل مسی, توپ طلا, فوتبال"
ترمز حریف آسیایی نساجی کشیده شد,13100,"نسف قارشی, نوبهار نمنگان, فوتبال"
استعفای سریع یک سرمربی در لیگ یک,25000,"وحید بیاتلو, شهرداری آستارا, لیگ آزادگان, فوتبال"
فوتبالیستی که خودش را بادی‌گارد مسی کرد! (عکس)‏,47800,"لیونل مسی, لیگ MLS آمریکا, اینتر میامی, فوتبال"
عباسی: یک امتیاز مقابل گل گهر اوج بدشانسی ما بود,4400,"هوادار, محمد عباسی, لیگ برتر ایران, فوتبال"
برتری طبیعت مقابل کاله و پیروزی پالایش و مهرام,1800,"لیگ برتر بسکتبال, بسکتبال"
هالند یا مسی: جواب سوال بزرگ اینجاست,25600,"لیونل مسی, توپ طلا, ارلینگ هالند, فوتبال"
